Date,Sales
2023-07-26,134
2023-07-27,135
2023-07-28,137
2023-07-29,239
2023-07-30,142
2023-07-31,160
2023-08-01,157
2023-08-02,150
2023-08-03,122
2023-08-04,157
2023-08-05,113
2023-08-06,131
2023-08-07,125
2023-08-08,144
2023-08-09,214
2023-08-10,90
2023-08-11,169
2023-08-12,102
2023-08-13,139
2023-08-14,188
2023-08-15,160
2023-08-16,128
2023-08-17,141
2023-08-18,185
2023-08-19,145
2023-08-20,176
2023-08-21,174
2023-08-22,155
2023-08-23,242
2023-08-24,199
2023-08-25,122
2023-08-26,190
2023-08-27,168
2023-08-28,216
2023-08-29,169
2023-08-30,192
2023-08-31,213
2023-09-01,226
2023-09-02,167
2023-09-03,196
2023-09-04,194
2023-09-05,191
2023-09-06,266
2023-09-07,228
2023-09-08,181
2023-09-09,248
2023-09-10,287
2023-09-11,257
2023-09-12,183
2023-09-13,216
2023-09-14,271
2023-09-15,215
2023-09-16,251
2023-09-17,264
2023-09-18,215
2023-09-19,243
2023-09-20,150
2023-09-21,219
2023-09-22,244
2023-09-23,217
2023-09-24,305
2023-09-25,216
2023-09-26,247
2023-09-27,266
2023-09-28,308
2023-09-29,223
2023-09-30,303
2023-10-01,271
2023-10-02,243
2023-10-03,288
2023-10-04,281
2023-10-05,259
2023-10-06,281
2023-10-07,269
2023-10-08,285
2023-10-09,303
2023-10-10,332
2023-10-11,249
2023-10-12,351
2023-10-13,230
2023-10-14,285
2023-10-15,308
2023-10-16,300
2023-10-17,274
2023-10-18,287
2023-10-19,280
2023-10-20,278
2023-10-21,321
2023-10-22,307
2023-10-23,276
2023-10-24,325
2023-10-25,307
2023-10-26,323
2023-10-27,318
2023-10-28,274
2023-10-29,283
2023-10-30,322
2023-10-31,318
2023-11-01,299
2023-11-02,303
2023-11-03,338
2023-11-04,281
2023-11-05,315
2023-11-06,292
2023-11-07,291
2023-11-08,330
2023-11-09,322
2023-11-10,321
2023-11-11,335
2023-11-12,296
2023-11-13,315
2023-11-14,284
2023-11-15,302
2023-11-16,287
2023-11-17,293
2023-11-18,307
2023-11-19,263
2023-11-20,350
2023-11-21,255
2023-11-22,248
2023-11-23,318
2023-11-24,305
2023-11-25,299
2023-11-26,297
2023-11-27,276
2023-11-28,248
2023-11-29,275
2023-11-30,251
2023-12-01,299
2023-12-02,263
2023-12-03,241
2023-12-04,254
2023-12-05,274
2023-12-06,243
2023-12-07,233
2023-12-08,263
2023-12-09,261
2023-12-10,236
2023-12-11,235
2023-12-12,254
2023-12-13,201
2023-12-14,200
2023-12-15,218
2023-12-16,231
2023-12-17,244
2023-12-18,277
2023-12-19,256
2023-12-20,223
2023-12-21,225
2023-12-22,193
2023-12-23,220
2023-12-24,209
2023-12-25,225
2023-12-26,188
2023-12-27,225
2023-12-28,253
2023-12-29,201
2023-12-30,214
2023-12-31,220
